Feature,Importance
NICA,0.2087654
X4A,0.12467813
NIE,0.11647524
X1A,0.10053143
GSA,0.099845864
CPB,0.08701581
DTE,0.05493187
EPS,0.05440591
X5A,0.034228485
LIQ,0.028403984
LVC,0.027825156
Country_Mexico,0.026291203
CROE,0.022401756
X2A,0.0084217265
X3A,0.0057780975
OPM,0.0
Country_Brazil,0.0
Country_Chile,0.0
Country_Peru,0.0
