Feature,Importance
Country_Chile,0.113108866
Country_Peru,0.07565731
EPS,0.06449077
GSA,0.058194257
X1A,0.057501562
OPM,0.056424573
NICA,0.055999678
LIQ,0.055725224
X3A,0.053232297
DTE,0.05178961
CROE,0.05157668
NIE,0.05122038
CPB,0.04967511
LVC,0.047385167
X4A,0.047137007
X2A,0.046256576
X5A,0.045931157
Country_Brazil,0.009614293
Country_Colombia,0.009079419
Country_Mexico,0.0
