Feature,Importance
Country_Peru,0.106525876
NICA,0.060532026
CPB,0.05872414
OPM,0.05588073
Country_Mexico,0.054968454
NIE,0.054518912
X4A,0.052710697
X3A,0.05181497
CROE,0.050649066
Country_Brazil,0.04963166
DTE,0.047549475
EPS,0.046835918
X5A,0.04541367
LIQ,0.043035805
LVC,0.042306174
X1A,0.040540896
GSA,0.03919389
X2A,0.037223052
Country_Chile,0.03114573
Country_Colombia,0.030798849
