Feature,Importance
OPM,0.115516774
NICA,0.11520098
X3A,0.07885588
X4A,0.06966851
X1A,0.06654637
CPB,0.06536112
DTE,0.060249254
X5A,0.057766322
GSA,0.056562793
LVC,0.056500115
EPS,0.054534104
CROE,0.05447482
NIE,0.04198362
Country_Chile,0.03662584
X2A,0.036340162
LIQ,0.033813395
Country_Brazil,0.0
Country_Colombia,0.0
