Feature,Importance
LIQ,0.0
LVC,0.0
NIE,0.0
NICA,0.0
EPS,0.0
DTE,0.0
X1A,0.0
X2A,0.0
X3A,0.0
X4A,0.0
X5A,0.0
OPM,0.0
CROE,0.0
CPB,0.0
GSA,0.0
Country_Brazil,0.0
Country_Chile,0.0
Country_Colombia,0.0
Country_Mexico,0.0
