Feature,Importance
CPB,0.1498567
X2A,0.1333474
GSA,0.104664765
CROE,0.10454349
LVC,0.0778232
NICA,0.06997856
DTE,0.061219726
X4A,0.05492035
EPS,0.052248105
NIE,0.04298578
X1A,0.03545783
X3A,0.03060473
OPM,0.026904235
X5A,0.02205745
LIQ,0.017752446
Country_Chile,0.015635204
Country_Brazil,0.0
Country_Colombia,0.0
Country_Mexico,0.0
