Feature,Importance
GSA,0.07917534
LVC,0.07878624
DTE,0.0784127
NIE,0.07258077
CROE,0.07237499
X5A,0.06781747
NICA,0.066189714
EPS,0.065848775
LIQ,0.06472187
X2A,0.059563044
X4A,0.058686618
X1A,0.05425481
X3A,0.04552106
CPB,0.04022384
OPM,0.037853166
Country_Brazil,0.031571086
Country_Peru,0.026418515
Country_Chile,0.0
Country_Colombia,0.0
Country_Mexico,0.0
