Feature,Importance
CPB,0.38827226
NICA,0.14981215
GSA,0.13905555
X2A,0.044866014
X3A,0.037374716
CROE,0.034066793
X5A,0.033659138
EPS,0.03054001
DTE,0.029446604
X4A,0.028125301
LIQ,0.02589991
X1A,0.017518364
OPM,0.015712777
NIE,0.013434961
LVC,0.012215428
Country_Brazil,0.0
Country_Chile,0.0
Country_Colombia,0.0
Country_Mexico,0.0
Country_Peru,0.0
