Feature,Importance
NICA,0.24605915
OPM,0.11610841
NIE,0.09630407
Country_Mexico,0.0703468
X1A,0.053006317
CPB,0.052136216
X2A,0.043317866
LVC,0.03960774
Country_Peru,0.03847885
CROE,0.034954708
X4A,0.033934187
GSA,0.031554278
EPS,0.027687525
X5A,0.026590036
X3A,0.024575893
LIQ,0.024249144
Country_Brazil,0.023691772
DTE,0.01739705
Country_Colombia,0.0
Country_Chile,0.0
