Sector;Dataset;SplitYear;ACC__global_on_sector_test;ACC__sector_only;AUC__global_on_sector_test;AUC__sector_only;BS__global_on_sector_test;BS__sector_only;CV_ACC_Mean__global_on_sector_test;CV_ACC_Mean__sector_only;CV_AUC_Mean__global_on_sector_test;CV_AUC_Mean__sector_only;KS__global_on_sector_test;KS__sector_only;Delta_AUC_global_minus_sector;Delta_ACC_global_minus_sector;Delta_KS_global_minus_sector;Delta_BS_global_minus_sector
Basic Materials;dataset32;2015;0.5725190839694656;0.539440203562341;0.5867258949568852;0.5965508230990332;0.28331342339515686;0.314365029335022;0.6501016654862808;0.6211674849972723;0.7084736047097998;0.6834422293787787;0.19231774235693755;0.14536190227332113;-0.00982492814214797;0.03307888040712459;0.04695584008361642;-0.031051605939865112
Basic Materials;dataset33;2015;0.5273972602739726;0.5582191780821918;0.5279602176768624;0.5622537061362356;0.29152753949165344;0.3172684907913208;0.6004708891164132;0.583472447638921;0.6440295599950734;0.6151424400155799;0.0821917808219178;0.14383561643835613;-0.03429348845937319;-0.03082191780821919;-0.061643835616438325;-0.02574095129966736
Basic Materials;dataset41;2015;0.8701825557809331;0.8661257606490872;0.9425948345439872;0.9091000807102502;0.11102570593357086;0.1124434843659401;0.9472222222222222;0.9636363636363636;0.9655864197530863;0.9800000000000001;0.896186440677966;0.8294995964487489;0.03349475383373701;0.0040567951318458695;0.06668684422921711;-0.0014177784323692322
Basic Materials;dataset42;2015;0.7073791348600509;0.6793893129770993;0.8637391632114587;0.7989068978514888;0.21976938843727112;0.25926828384399414;0.8002351097178682;0.787912087912088;0.8456491447241976;0.8877551020408163;0.6145872597059933;0.503392385978138;0.06483226535996989;0.027989821882951627;0.1111948737278553;-0.03949889540672302
Basic Materials;dataset43;2015;0.6883561643835616;0.571917808219178;0.7202127659574469;0.6879432624113475;0.24841026961803436;0.35295647382736206;0.7622222222222222;0.5791666666666666;0.8399012345679013;0.6741071428571429;0.4957446808510639;0.4553191489361702;0.032269503546099365;0.11643835616438358;0.040425531914893675;-0.1045462042093277
Consumer Cyclicals;dataset11;2015;0.8839779005524862;0.8729281767955801;0.9582790697674417;0.9568837209302326;0.09964685887098312;0.10896068811416626;0.9298873101420873;0.9266666666666665;0.9610590966968766;0.9520000000000002;0.864;0.86;0.0013953488372091538;0.011049723756906049;0.0040000000000000036;-0.009313829243183136
Consumer Cyclicals;dataset12;2015;0.7435294117647059;0.7058823529411765;0.8425003321376379;0.7968646206988176;0.21804723143577576;0.22776475548744202;0.8114942528735632;0.7588235294117647;0.884502576298058;0.8471357170319107;0.5635047163544573;0.4759532350205925;0.04563571143882028;0.03764705882352937;0.08755148133386481;-0.00971752405166626
Consumer Cyclicals;dataset13;2015;0.7328990228013029;0.7003257328990228;0.8257363253856943;0.7544413277232351;0.20512238144874573;0.2198997288942337;0.7662921348314606;0.7660028449502134;0.8275217775533392;0.8094490612496152;0.5531790556334736;0.4154978962131837;0.07129499766245917;0.032573289902280145;0.13768115942028986;-0.014777347445487976
Consumer Cyclicals;dataset21;2015;0.8348017621145375;0.8458149779735683;0.9084901960784314;0.9013921568627452;0.12203741818666458;0.12888750433921814;0.8646601941747573;0.8451516143106458;0.9363121877651052;0.9224504294590643;0.6972156862745098;0.6888235294117647;0.0070980392156861916;-0.011013215859030812;0.008392156862745082;-0.006850086152553558
Consumer Cyclicals;dataset22;2015;0.547486033519553;0.5111731843575419;0.5357053212851406;0.5128639558232931;0.2914964556694031;0.34628164768218994;0.574421115317821;0.5468627450980392;0.6012027278053443;0.5670238855108005;0.13221636546184734;0.048945783132530174;0.02284136546184745;0.03631284916201116;0.08327058232931717;-0.054785192012786865
