ModelxMeasure;TP;TN;FP;FN;TError_I;TError_II;ACC;SENS;SPEC;BS;AUC;KS;CV_ACC_Mean;CV_AUC_Mean;Sector;Dataset;ModelScope;SplitYear;TrainRows;TestRows;TrainRowsUsed;TestRowsScored
XGB;234.0;197.0;36.0;26.0;15.45;10.0;0.8742393509127789;0.9;0.8454935622317596;0.09931418299674988;0.9503301419610433;0.7543578738857709;0.8802844114692017;0.9433422673280003;Basic Materials;dataset31;sector_only;2015;1308;493;1136;493
XGB;246.0;206.0;27.0;14.0;11.59;5.38;0.9168356997971603;0.9461538461538461;0.8841201716738197;0.075873464345932;0.9605150214592275;0.8345658633212281;0.8767469869818292;0.9451688920326236;Basic Materials;dataset31;global_on_sector_test;2015;7094;493;5574;493
XGB;20.0;407.0;65.0;1.0;13.77;4.76;0.8661257606490872;0.9523809523809523;0.8622881355932204;0.1124434843659401;0.9091000807102502;0.8294995964487489;0.9636363636363636;0.9800000000000001;Basic Materials;dataset41;sector_only;2015;1308;493;56;493
XGB;21.0;408.0;64.0;0.0;13.56;0.0;0.8701825557809331;1.0;0.864406779661017;0.11102570593357086;0.9425948345439872;0.896186440677966;0.9472222222222222;0.9655864197530863;Basic Materials;dataset41;global_on_sector_test;2015;7094;493;360;493
XGB;15.0;290.0;80.0;6.0;21.62;28.57;0.7800511508951407;0.7142857142857143;0.7837837837837838;0.17827191948890686;0.8153153153153153;0.5831402831402832;0.7272727272727273;0.7851239669421487;Basic Materials;dataset12;sector_only;2015;1305;391;110;391
XGB;17.0;263.0;107.0;4.0;28.92;19.05;0.7161125319693095;0.8095238095238095;0.7108108108108108;0.22954759001731873;0.8257400257400256;0.681081081081081;0.8114942528735632;0.884502576298058;Basic Materials;dataset12;global_on_sector_test;2015;7069;391;870;391
XGB;102.0;79.0;114.0;69.0;59.07;40.35;0.49725274725274726;0.5964912280701754;0.40932642487046633;0.34316253662109375;0.5214071448050177;0.11586825440111503;0.5602949852507375;0.5846184397480505;Basic Materials;dataset22;sector_only;2015;1146;364;1128;364
XGB;103.0;76.0;117.0;68.0;60.62;39.77;0.49175824175824173;0.6023391812865497;0.39378238341968913;0.2992801070213318;0.5072114656243372;0.09747598703148197;0.574421115317821;0.6012027278053443;Basic Materials;dataset22;global_on_sector_test;2015;5731;364;5482;364
XGB;128.0;84.0;131.0;50.0;60.93;28.09;0.539440203562341;0.7191011235955056;0.39069767441860465;0.314365029335022;0.5965508230990332;0.14536190227332113;0.6211674849972723;0.6834422293787787;Basic Materials;dataset32;sector_only;2015;1306;393;1172;393
XGB;135.0;90.0;125.0;43.0;58.14;24.16;0.5725190839694656;0.7584269662921348;0.4186046511627907;0.28331342339515686;0.5867258949568852;0.19231774235693755;0.6501016654862808;0.7084736047097998;Basic Materials;dataset32;global_on_sector_test;2015;7080;393;5916;393
XGB;11.0;256.0;123.0;3.0;32.45;21.43;0.6793893129770993;0.7857142857142857;0.6754617414248021;0.25926828384399414;0.7989068978514888;0.503392385978138;0.787912087912088;0.8877551020408163;Basic Materials;dataset42;sector_only;2015;1306;393;66;393
