Feature,Importance
CPB,0.23062646
X5A,0.1314581
X2A,0.08733507
EPS,0.0845085
CROE,0.07980228
NICA,0.07702841
LVC,0.059482243
NIE,0.058245685
DTE,0.042736154
X4A,0.041296393
LIQ,0.028551733
GSA,0.02539544
X1A,0.023588287
X3A,0.01639081
OPM,0.013554471
Country_Chile,0.0
