Feature,Importance
Country_Brazil,0.09211053
X3A,0.06826402
NICA,0.06667642
X4A,0.06483679
EPS,0.060178258
LVC,0.057454858
NIE,0.055542205
OPM,0.054908607
GSA,0.05408274
LIQ,0.0523369
CPB,0.051958147
X5A,0.051911637
X2A,0.051566415
Country_Chile,0.049756322
X1A,0.048975956
CROE,0.046693195
DTE,0.04046442
Country_Mexico,0.032282513
Country_Colombia,0.0
Country_Peru,0.0
